# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    mod0 IS NOT NULL
# Display the fields:              objname, mod0, e_mod0, vgsr, v, e_v, f_astrom, l2, b2
# Description of each column
# objname: ------------- <NA>
#  mod0: --------------- <NA>
#  e_mod0: ------------- <NA>
#  vgsr: --------------- <NA>
#  v: ------------------ <NA>
#  e_v: ---------------- <NA>
#  f_astrom: ----------- <NA>
#  l2: ----------------- <NA>
#  b2: ----------------- <NA>
#------- ----- ------- ----- -- ---- --------- --- ---
objname  mod0  e_mod0  vgsr  v  e_v  f_astrom  l2  b2
#------- ----- ------- ----- -- ---- --------- --- ---
PGC2802602	24.64	0.19				0	122.677273	-21.1873888
PGC2807061	26.12	0.14	142.4	291.4	4.1	0	217.7050312	0.0905268
PGC2807102	28.286	0.17	239.3	60.6	5.9	1	125.4901097	-11.351225
PGC2807103	27.64	0.05	206.7	37.9	12.1	1	129.6838751	-10.209798
PGC2807133	27.86	0.107				1	148.408608	44.5481412
ANDROMEDA06	24.463	0.058	-168.9	-342.4	3	1	106.0432723	-36.3239007
PGC2807155	24.573	0.054	-96.1	-307.4	1	1	109.4618071	-9.9563706
PGC2807157	27.034	0.024	63	-134.3	2	1	109.094485	-22.3776066
PGC2832111	30.699	0.224				0	139.3535945	68.956567
PGC3081460	36.579	0.154	12712.4	12891.1	299.8	0	233.054556	18.5736403
PGC3097690	28.891	0.2	275.4	46	9.5	1	94.3742539	8.0106178
PGC3097691	24.455	0.042	-24.1	-83.9	1.2	1	101.4497338	-72.8570635
PGC3097727	28.157	0.022				1	52.7444472	-83.3441129
ANDROMEDA05	24.39	0.059	-223.1	-396.8	1.9	0	126.2192415	-15.1225577
PGC3097827	27.859	0.029	-24.5	-125	130	0	144.6159538	40.9522728
PGC3097828	27.747	0.02				1	143.1022304	40.2886302
PGC3108973	38.58	0.12	48464.5	48416.1	13.6	0	148.5943007	-61.2068443
PGC3114934	37.85	0.11	35904.5	35776.3	6.9	0	79.7657768	-54.3722021
ESO252-001	29.11	0.2				1	247.5441341	-38.5030334
SDSSJ003709.59-011222.4	40.06	0.2	93153	93068.2	18.6	0	114.8118952	-63.8526277
2MASXJ03052260+0051346	38.03	0.11	35410.1	35414.3	6.2	0	177.4233642	-47.3370603
SDSSJ205036.66-002115.2	39.94	0.14	77825.7	77670.8	14.2	0	47.2230684	-26.4246392
SDSSJ211531.80-002116.5	39.21	0.14	59325.4	59171.1	7.6	0	50.9236601	-31.7506028
2MASXJ00024910+0045055	37.28	0.12	26117.1	26008.2	10.4	0	98.2151426	-59.7666221
2MASXJ01415126-0052365	37.43	0.12	28073.9	28027.3	6.1	0	149.764839	-61.0942014
2MASXJ01270614+1906587	36.1	0.03	13035.9	12924.1	57.9	0	134.4739185	-42.9547134
2MASXJ01454460-5605518	37.831	0.114	26264.9	26381.7	599.6	0	288.01359	-59.4297581
2MASXJ03372260-3302350	35.733	0.112	11584.4	11702	28	0	232.6429806	-53.8541398
2MASXJ09591870-1928233	34.18	0.098	3438.9	3637.7	15.1	0	256.4509243	27.4737208
2MASXJ13524703+0518496	37.919	0.097	25156.6	25182.6	299.8	0	339.4675536	63.7451148
SDSSJ212342.95-005035.0	37.2	0.03	18904.4	18752.2	3.5	0	51.73611	-33.7404897
6dFJ0956376-092911	29.869	0.098	425.8	602.6	39.2	0	247.6287965	34.0178359
SDSSJ004632.24+005017.4	38.14	0.11	39238.7	39153	5.3	0	120.3210962	-62.0087184
SDSSJ010743.60-010222.1	38.79	0.11	52369.5	52302	7.3	0	132.1269882	-63.6200031
SDSSJ012648.45-011417.3	37.03	0.04	17268.8	17213.7	3.9	0	142.5471415	-62.755035
SDSSJ215558.49-010413.0	37.6	0.1	21706.3	21559	4.4	0	57.1791985	-40.545795
APPLES1	29.6	0.5	651.9	674	30	0	348.4887528	-65.0807694
GOODSJ123649.72+621313.4	41.39	0.25	142369	142258	60	0	125.8858803	54.8240808
GOODSJ123655.57+621245.9	43.11	0.22	237250	237139	60	0	125.8675629	54.8329177
ANDROMEDA17	24.349	0.057	-68	-251.6	1.9	1	120.2322416	-18.4766144
HIPASSJ1348-37	28.761	0.045	440.3	581.6	5.5	0	315.178209	23.5416778
[RGK2003]J010858.96+000024.8	38.99	0.2	56131	56061.1	34.8	1	132.4780314	-62.5392806
PGC041782	31.119	0.081	1455.6	1505.6	10.3	0	286.3376979	75.0522667
MS1008.1-1224:PPP001719	40.25	0.32	89756	89937.7	60	1	253.2200759	34.3006839
CENTAURUSN	27.822	0.032				1	312.7492383	14.2228574
[HS98]117	27.996	0.022	78.9	-37	42.4	1	138.1367494	41.2960828
IKN	27.87	0.015	-34.5	-140	64	1	141.8969988	42.2101644
SAGITTARIUS_DWARF_SPHEROIDAL	17.1	0.15	169	140	2	3	5.6079739	-14.0857279
ANDROMEDA09	24.427	0.069	-32.8	-208.5	2	1	123.2101089	-19.6722747
CANES_VENATICI_DWARF	21.653	0.046	69.3	22.5	0.5	1	74.3116622	79.8245628
BOOTES2	18.1	0.06	-116.4	-117	5.2	1	353.7543227	68.846715
BOOTES1	19.096	0.067	108.8	101.8	0.7	1	358.0828999	69.6297869
UMA1	19.953	0.079	-7.3	-55.5	1.4	1	159.4180712	54.397888
UMA2	17.5	0.3	-33.2	-116.3	1.8	1	152.459302	37.4416208
SDSSJ1049+5103	18.108	0.335	35.4	-12.3	2.5	1	158.5711751	56.781592
COMA	18.152	0.088	81.8	98.1	0.9	1	241.8188856	83.6131493
CANES_VENATICI_2	21.003	0.054	-95.4	-128.9	1.2	1	113.594454	82.7015944
HERCULES	20.801	0.118	144.8	45.1	0.8	1	28.729422	36.8647223
LEO4	20.957	0.06	10.2	132.3	1.4	1	265.4369039	56.5167108
BOOTES3	18.35	0.01	240.1	197.5	3.8	3	35.4050343	75.3535024
LEO5	21.25	0.12	58.7	173.3	3.1	1	261.8624892	58.5374407
SEGUE2	17.727	0.082	42.3	-40.1	0.9	1	149.4328797	-38.1351385
WMMA080	37.21	0.14	10931.1	11071.3	3	0	313.0418796	28.5245405
[CKT2009]D0939+71	27.83	0.157				0	140.659945	38.5064957
ANDROMEDA18	25.594	0.048	-134.7	-332.1	2.7	1	113.8898295	-16.9163726
ANDROMEDA19	24.827	0.147	67.6	-111.6	1.5	1	115.5823689	-27.3723682
ANDROMEDA20	24.362	0.142				1	112.8722043	-26.882535
ANDROMEDA10	24.046	0.077	8	-163.9	1	1	125.7548759	-17.9843599
ANDROMEDA14	24.369	0.291	-325.9	-480.9	0.7	1	122.9696502	-33.1783653
ANDROMEDA11	24.332	0.051	-296.8	-461.8	3.7	1	121.7197598	-29.0562717
ANDROMEDA12	24.625	0.143	-393	-558.4	3.2	1	121.9956764	-28.4897304
ANDROMEDA13	24.618	0.054	-24.5	-185.4	2.4	1	123.0315473	-29.8671801
ANDROMEDA16	23.707	0.045	-211.3	-367.3	2.8	1	124.906953	-30.4643941
[CKT2009]D0934+70	27.4	0.251				0	142.1434373	38.705906
[CKT2009]D0944+69	27.911	0.156				0	142.6580692	39.9915071
[CKT2009]D0955+70	27.69	0.191				0	140.677725	40.0968706
[CKT2009]D1006+67	27.793	0.075				0	143.2896336	42.8431059
[CKT2009]D1014+68	27.92	0.11				0	140.9867022	42.4652386
[CKT2009]D1041+70	27.84	0.087				0	137.419532	43.1283897
[CKT2009]D0926+70	27.66	0.078				0	142.2179979	38.0083646
[CKT2009]D0944+71	27.677	0.042	76.5	-38.3	9.8	0	140.1814527	38.7682507
[CKT2009]D1015+69	27.96	0.121				0	140.6851233	42.2965828
PISCES2	21.3	0.2	-75.4	-226.5	2.7	1	79.206281	-47.105771
SEGUE3	16.133	0.083	35.7	-167.1	1.5	0	69.3995172	-21.2723664
DDO169NW	28.18	0.13	324.4	242	5	1	111.5996739	69.0609116
SCL-DE1_GC1	28.17	0.12				0	52.8005675	-83.3452854
[KKH2007]J1219+4705	30.485	0.322				0	138.2392841	69.0776594
ANDROMEDA23	24.36	0.057	-85.4	-237.7	1.2	1	130.9900848	-23.5562719
ANDROMEDA24	24.77	0.1				1	127.7930369	-16.2476925
ANDROMEDA25	24.496	0.141	81	-107.8	1	1	119.1524848	-15.8587897
ANDROMEDA26	24.409	0.117				1	118.1443008	-14.7002534
ANDROMEDA27	24.602	0.158	-355	-539.6	4.6	1	120.3589895	-17.4148598
ANDROMEDA21	24.608	0.07	-163.6	-361.4	5.8	1	111.9171657	-19.1863302
ANDROMEDA22	24.66	0.07	3.2	-129.3	2	1	132.5873879	-34.1009724
ALFAZOAJ1952+1428	29.62	0.099	467.3	279	5.9	0	52.824066	-6.4205304
GALAXY	14.571	0.039				-1	359.9442048	-0.0460844
ANDROMEDA30	24.17	0.26	48.1	-140.6	4.5	1	120.4628249	-13.1536281
CANIS_MAJOR_DWARF	14.406	0.12				4	242.0033261	-6.4820063
[QQH97]J234014.21+261211.8	36.146	0.039	10374.2	10192.9	42.4	1	103.6156073	-33.9836395
[HM92c]230149-3736.8	38.425	0.043	30279.4	30279	42.7	0	1.7827648	-65.3150736
SCPJ110136.37-060631.6	36.548	0.04	11841.2	11991.7	42.5	0	260.2422988	47.4529509
